English level 2,started on October 15th,,
FIRST,WEEK,,
,,,
Lesson 01,# from 1 to 3,,
,,,
reflection ,"# an image in a mirror, or a shiny surface, on water, etc.
– He admired his reflection in the mirror. 
– He went to his bathroom mirror. He saw his reflection. ",,
facial ,"# ( face .. facial ) connected with a person face.
– He has grown facial hair. ",,
razor ,"# an instrument that is used for shaving.
– an electronic razor.
– He grabbed the razor and started shaving. ",,
aftershave,"# a liquid with a pleasant smell that men sometimes put on their face after shave
– He washed his face an applied aftershave.",,
"sting ,e","# stings,    stung,    stung,    stinging. 
– the cut stung him a little.",,
hush,"# to be quiet; to stop talking or crying.
– Hush now and try to sleep.
– She looked out the window to see what it was.
.. It was a black cat climbing a tree.
.. She hushed the cat.",,
past,"# adverb. from on side of something to another side.
– I called out him and he run past.
– He walked past his neighbor’s house.",,
,,,
Lesson 02,# from 4 to 6,,
,,,
sticky,"# make of or covered in a surface that stick to things that touch it.
– The sun was shining in the sky. The air was sticky.",,
pitcher,"# ( British jug ) a container with a handle and a lip, for holding and pouring liquid.
– A pitcher of water.
– Jane grabbed some lemons and a big pitcher.",,
shiver,"# ( of a person ) to shake slightly because you are cold, frightened, excited, etc.
– Jim was shivering because it was cold. ",,
rub,"# ( bb ) to more you hand, or something such as a cloth, backward and forward over a surface while pressing firmly.
– He rubbed her hands together. ",,
brew,"# 1. to make beer. 2. to make a hot drink of tea or coffee
– freshly brewed coffee
– He pressed a button and it started brewing. ",,
escort,"# to go with somebody to protect or guard them or to show them the way.
– The President arrived, escorted by twelve soldiers.
– Children were escorted to the front gate.",,
alongside,"# next to or at the side of something
– A police car pulled up alongside us.
– Nick caught up with me and rode alongside. ",,
,,,
lesson 03,# from 7 to 9,,
,,,
braces,"( especially North American ) a metal device that children wear inside the mouth to help their teeth grow straight.
– Her hair was short and straight. She also has braces.",,
huddle,"# ( of person or animal ) gather closely together, usually because of cold or fear.
– They all huddled around the fire.
– Jim forgot to bring an umbrella for Nancy. Jim and Nancy huddled together under Jim’s umbrella. ",,
strike ,"# irregular verb. strikes, struck, struck, striking. 
– to hit somebody / something hard or with force.
– The ship struck a rock.
– Lightning struck across the sky.",,
starve,"# to suffer or die, because you do not have enough food.
– pictures of starving children. 
– He has not eaten in five hours. He was starving. ",,
suffer,"# to be badly especially by disease, pain, sadness, a lake of something, etc.",,
loaf,"# an amount of bread that has been shaped and baked in one piece.
– A loaf of bread.
– Two white loaves, please.
– He went to his kitchen. He took out a loaf of bread.",,
glaze,"# to cover something with a glaze to give it a shiny surface.
# glaze, noun: a thin clear liquid put on clay object
– He unzipped the container of ham. The ham was honey glazed. 
– He put the vegetable on top of the cheese and ham. He glazed it all with ketchup and mustard. ",,
mustard,# a thick cold yellow or brown sauce that tastes hot and spicy and usually eaten with meat.,,
scramble ,"# { eggs } to cook an egg by mixing the white and yellow parts together and heading them, sometimes with milk and butter.
– making scramble eggs.
– She scrambled them ( eggs ) with a spatula.",,
knob,"# a round switch on a machine such as a T.V. that you turn it on and off, etc.
– She turned on the stove and places a pan on the stove. She turned the knob on the stove. The fire was lit.",,
toss,"# 4 {in cooling} to shake or turn food in order to cover it with oil, butter, etc.
– She grabbed a stick of butter form the fridge. She tossed the butte on the hot pan.",,
spatula ,"# a tool with a broad flat handle used for mixing and spearing things, especially in cooking and painting. ",,
,,,
lesson 04,# from 10 to 12,,
,,,
entertain,"# to invite people to eat or drink with you as your guests, especially in you home
# to interest and amuse someone in order to please them.
– Watching television in entertaining. ",,
entertaining,# entertaining and amusing. ,,
documentary,"# ( documentaries ) a film or a radio or television program giving facts about something.
– Sam watched sports. Sam watched documentaries. Sam watched sitcoms.",,
sitcom,# ( also formal: situation comedy ) a regular program on television that shows the same characters in different amusing situation. ,,
inform ,"# to tell somebody about something, especially in an official way.
# to find out information about something. 
– Watching television is informing. ",,
pull-up,"# (also chin-up ) in exercise in which you hold onto a high bar above your head and pull yourself up towards it.
– He did pull-ups and push-ups.",,
push-up,# ( also press-up) an exercise in which you lie on you stomach and rise your body off the ground by pressing down your hands until your arms are straight. ( becomes straight),,
sit-up,"# an exercise for making your stomach muscles strong in which you lie on your back on the floor and rise the top part of your body to a sitting position. 
– He did sit-up and crunches. ",,
crunch,"# 1. a noise like the sound of something firm being crushed. 
– The crunch of feet on snow.
# 4 = sit-up",,
"ride ,e","# rides,    rode,    ridden,    riding.
– He rode his bicycle everywhere.",,
vital,"# 1. necessary on essential in order for something to succeed and exist. 
# 3. ( of a person ) full of energy and enthusiasm. synonym: dynamic.
– He felt powerful. He felt vital. He felt fast.",,
enthusiasm ,# a strong feeling of excitement and interest in something and a desire to become involved in it.,,
confident,"# feeling sure about your own ability to do things and be successful. 
– He feel attractive. It made her fell confident. ",,
self-esteem ,"# a feeling of being happy with you own character and abilities. synonym: self-worth. 
– to have high / low self-esteem. ",,
,,,
,,,
lesson 05,# from 13 to 15,,
,,,
approach,"# {move near} to coma near to something / somebody in distance or time
– As you approach the town, you will see the collage on the left.
– The dog looked lost. He approached the dog.",,
well-groom,"# ( of a person ) looking clean, neat and carefully dressed. 
– Spike was a small dog. He looked well-groomed.",,
"bring ,e","# brings,    brought,    brought,    bringing. 
– He brought the dog upstairs to his room.",,
obedient,"# doing what you are told to do; willing to obey.
– An obedient child.
– Spike was a friendly and obedient dog.",,
threaten,"# to say that you will cause trouble, hurt someone, etc, if you do not get what you want. ( ? what they want ? )
– They broke my windows and threatened me.
– Spike only barked when threatened.",,
"bite ,e","# bites,    bit,    bitten,    biting. ( ? bitting ? )
– He never bit anybody.",,
abandon ,"# to leave somebody, especially somebody [who] you are responsible for, with no intention of returning. 
– The baby has been abandoned by its mother.
– Spike was abandoned by his previous owner.",,
rest,"# {period of relaxing} a period of relaxing, sleeping or doing nothing after a period of activity. 
– I hand a good night’s rest.
– Spike and the boy were friends for the rest of their lives.",,
,,,
SECOND,WEEK,,
lesson 06,# from 16 to 18,,
,,,
dial,"to use telephone by pushing bottom or turning the dial to call a number.
– The girl dialed 911.",,
tear,"# 1. to damage something by pulling it apart or into pieces or by cutting in on something sharp, to become damaged in this way.
# 5. {injury muscle} to injure a muscle, etc by stretching it so much.
– He never imagined breaking his arm. He started to tear. ",,
on the way,"# 1. going to come
# 2. during the journey
# 3. ( of a baby ) not yet born
– They have got three kids and one on the way.
– “Help is on the way” the girl said.",,
paramedic,"# a person whose job is to help people who are sick or injure but who is not a doctor or a nurse. 
– The paramedics took the boy.",,
roller-skate,"# a type of boot with two piece of small wheels attached to the bottom. 
– She was learning how to roller-skate.",,
protective,"# providing or intended to provide protection. 
# intend: that you are trying to achieve.
– She put on protective clothing. ",,
slip,"# { slide, fall } to slide a short distance by accident so that you fall or nearly fall.
– She slipped on her roller-skates.",,
improve,"# to become better than before; to make something/ somebody better than before
– With practice, she improved.",,
beam,"# 1. to have a big happy smile on your face
# 3. to produce a stream of light and / or heat
– The morning sun beamed down on us.
– She was lying on the beach. It felt really calm. The sun was beaming down.",,
paradise,"# ( often Paradise ) a perfect place where people are said to go when they die. synonym: heaven. 
# a place that extremely beautiful and that seems perfect, like heaven.
– She way lying on her stomach. She was in paradise. ",,
"by ,adv","# past
– Just drive by. Do not stop
– Excuse me, I cannot get by.
– Time goes by so quickly.
– Suddenly something happened. Someone ran by. Sand was kicked on her back.",,
startle,"# to surprise somebody suddenly in a way that slightly shocks or frighten them.
– I did not mean to startle you.
– Sand was kicked on her back. She was startled. ",,
"rise ,e","# rises,    rose,    risen,    rising.
– She rose instantly. ",,
guilt,"# the unhappy feeling caused by knowing or thinking that you have done something wrong.
– She had feeling of guilt about leaving her children and going to work.",,
"guilty, adj","# feeling ashamed because you have done something that you know is wrong or have not done something that you should have done.
– I felt guilty about not visiting my parents more often. 
– She asked the kid. The kid was scared. He started to crying. She felt guilty for making him cry.",,
,,,
Lesson 07,# from 19 to 21,,
,,,
pecan,"# the nut of the American pecan tree with smooth pinkish-brown shell.
– She cooked cherry, apple, pecan, and blueberry pies.",,
distract,"# to take somebody’s attention away from what they are trying to do.
– You are distracting me from my work.
– Do not talk to her – she is very easily distracted. 
– He shut off his computer. There could be no distractions.",,
distraction,# a thing that takes your attention away from what you are doing or thinking about.,,
"sell ,e","# sells,    sold,    sold,    selling. 
– All the coolies and pies were sold.",,
"pay ,e","# pays,    paid,    paid,    paying. 
– The day of the test came. He took the test. He passed the test. Studying had had paid off.",,
pay off,"# ( of a plan or an action, especially one that involving risk ) to be successful and bring good results.
– The gamble paid off.",,
come over,"# to come to a place, especially somebody’s house.
– He asked his friend if he could help. His friend said yes and came over.",,
gown,"# a women’s dress, especially along one for special occasion. 
# 2. a long, loose piece of clothing that is worn over other clothes by judges and by students or professor ( at special ceremonies )
– Next, she had to buy her graduation gown at her school.",,
"hang ,e","# hangs,    hung,    hung,    hanging. 
– She took it home. She hung it in her closet. ",,
accomplish,"# to succeed in doing or completing something. synonym: achieve
– The first part of the plan has been safety accomplished. ",,
accomplishment,"# an impressive thing that is done or achieve after a lot of work Synonym: achievement.
– She was the first one to graduate from high school in her family. It was a big accomplishment. ",,
soon ,"# 1. in a short time form now.
# 2. early, quickly.
– We will be home soon.
– We will soon be home.
– She got dressed and ready. Soon, she was at the event. ",,
distance,"# the amount of space between two places or things
– They watched from a distance. ",,
"distance ,v","# to become or to make somebody/something become, less involved or connected with somebody/ something.
– When her retired, he tried to distance himself from politics. ",,
,,,
lesson 08,# from 22 to 24,,
,,,
sprinkle,"# 1. to shake a small piece of something or drops of liquid on something.
– Sprinkle chocolate on top of the cake.
# noun: light rain.
# 3 (American ) If it sprinkle, it rain lightly synonym: drizzle.
– It is only sprinkling. We can still go out.",,
vase,"# a container made from glass, etc used for holding cut flower or as a decorative object.
– A vase flower.
– She draws cats. She draws vases. ",,
landscape,"# everything you can see when you across a large area of land, especially in the country.
– She paints landscape.",,
mind,"# { be upset, annoyed } to be upset, annoyed or worried by something
– I hope you do not mind the noise.
– Her clothes also have paint. She does not mind.",,
footstep,"# ( usually plural ) the sound or mark made each time your foot touch the ground when you walking or running. 
– He turned around again. He heard footprints.",,
,,,
lesson 09,# from 25 to 27,,
,,,
oatmeal,"# flour made from crashed oats, used to make biscuits and cookies.
Oatmeal is good for you. It has fiber",,
oats,"# grain grown is cool countries as food for animals and for making flour, oatmeal, etc.",,
fiber,"# the part of food that helps to keep a person healthy by keeping the bowels working and moving other food quickly through the body.
– Fiber is also good for you. It keeps your colon clean and healthy.",,
colon,"# 1. the mark ( : ) used to introduce a list, a summary, an explanation, etc
# 2. ( anatomy ) the main part of the large intestine (= part of the bowel )",,
grain,"# the small hard seeds of foot plants such as wheat, rice, etc.
# see: wholegrain 
– Oatmeal also contains whole grain. Whole grain is also good for you.",,
lastly,"# used to introduce the final point that you want to make | synoynm: finally
– lastly, I would like to ask you about your plans. ",,
calcium ,"# ( Symbol Ca ) a chemical element. It is a soft sliver-white metal that is found in bone, teeth, and chalk.
– Milk is also good for you. It contains calcium. Calcium is good for your bones.",,
on the other hand,"# used to introduce different point of view, ideas ,etc especially when they are opposite
# also: on the other ( hand is optional )
– On the other hand they would love to have kids, but on the other they do not want to give up their freedom. 
– Cats do not like water. kitty, On the other hand, liked water.",,
whisper,"# to speak very quietly to somebody so that other people cannot hear what you are saying | synonym: murmur. 
– What are you two whispering about?
– She called her little brother. She whispered into the phone and said. ",,
“,"# to shut to make something shut whit a lot of force making a loud noise | synonym: bang 
– She slammed out of the room (= went out and slammed the door behind her )
– He did not know Kitty was asleep. He slammed the door open.",,
salesman,"# salesman or saleswoman: a man or woman whose job is to sell goods in a store / shop.
– “Can I help you sir?” asked the salesman.",,
,,,
lesson 10,# form 28 to 30,,
,,,
Fourth of July,"# a national holiday in the US when people celebrate the anniversary of the Declaration of Independence in 1776
– Tom’s Fourth of July
– It was the Fourth of July. I came once a year. It is a day of celebration. ",,
nephew,"# the son of your brother or sister; the son of your husband or wife brother or sister
– His nephew was excited. He was six year old.",,
niece ,# the daughter of your brother or sister, the son of your husband or wife brother or sister,
sparkle ,"# a series of flashes of light produced by light hitting shiny surface.
– Tom handed his nephew a sparkle. “Be careful with that,” Tom said to him. “I will, Uncle Tom,” his nephew said.",,
Coke,"# = Coca-Cola 
– He went inside his house, and came back with Coke and plastic cups.",,
national,"# connected with a particular nation; shared by whole nation. 
– national and local newspapers.
– a national election.
– Thanksgiving is a national holiday. It is celebrated once a year.",,
stuffing,"# ( North American also dressing ) a mixture of finely chopped food, such as bread, onion, herbs, placed inside a chicken, etc before it is cooked to give it flavor. 
– Evey year, he cooks a turkey. Mark’s wife helps him. Mark cooks other dishes, too. He makes stuffing, potato salad, and ham.",,
"dish ,n","# 3. food prepared in a particular way as part of a meal. 
– a vegetarian fish dish
– This make an excellent hot main dish.",,
in-laws,"# your relative by marriage, especially the parents of you husband or wife.
– They wait for Mark’s in-laws to arrive.
– We are visiting my in-laws Sunday.",,
festive,"# 1. typical of a special event or celebration.
– a festive occasion. 
– Thanksgiving is a festive holiday.",,
typical ,"# having the usual qualities or features of a particular type of person, thing or group.
– a typical Italian cafe
– This a typical example of Roman pottery. 
# antonym: atypical",,
achieve,"# AW. to succeed in reaching a particular goal, status or standard, especially by making an effort from a long time | synonym: attain | accomplish 
– He had finally achieved success.",,
achievement,"# a thing that somebody has done successfully. 
# adjective: achievable != unachievable ",,
thirst,"# thirsty is a adjective. 
# noun: the feeling or needing or wanting a drink
# verb: to be thirsty. 
– David was exhausted when he finished. He was really thirst. ",,
exhaust,"# noun: waste gases that come out of a vehicle, an engine, or a machine.
# verb: synonym: wear out
# to make someone feel very tired.",,
,,,
THIRD ,WEEK,,
lesson 11,# form 31 to 33,,
,,,
sight,"# {ability to see } the ability to see
– to lose your sight (= to become blind )
– He saw a man playing a guitar. It was happy sight.
– She has very good sight.",,
sway,"# to move slowly from side to side; to move something in this way.
– The trees were swaying in the wind.",,
alive,"# living; not dead.
– Is your mother still alive?
– We do not know whether he is alive or dead.
– Joe felt so alive.",,
compact,"# smaller than is usual for things of the same kind.
– a compact camera. 
– a compact disk.
– The store sold all kinds of things. It sold records, compact disks, posters, and clothing.",,
genius,"# ( plural: geniuses ) unusually great intelligence, skill or artistic ability. 
– The genius of Shakes peare. 
– He is a genius at organized people.
– He was a musical genius.",,
cane,"# 1. The kind of hollow stem of some plants for example bamboo or sugar.
# 4. a piece of cane or thin stick, used to help somebody to walk.
# also: Walking stink: a stick that you carry and use as support when you are walking.
– He was an elderly man. The man walked with a cane. ",,
somehow,"# ( or someway | someways ) in a way that is not known or certain.
– We must stop him from seeing her somehow.
– The old man was lost. Somehow, he would find his way back home every day.",,
,,,
lesson 12,# from 34 to 36,,
,,,
purchase,"# AW. to buy something ( formal )
– The equipment can be purchased from your local supplier.
– They purchased the land for $1 million.
– He purchased five pairs of pants.",,
"near ,v","# to come close to something in time or space | synonym: approach. 
– The project is nearing completing.
– She was nearing the end of her life.
– Summer was nearing.",,
tan,noun: a yellowish brown color ( also suntan ),,
slack,"# noun. the part of a rope, etc that is hanging loosely. ",,
slacks,"# trousers / pants for a woman or man that are not part of a suit.
– a pair of slacks
– Two pants were blue jeans. Another two were tan slacks.",,
khaki,"# a strong greenish or yellowish and brown clothes used especially for making military uniform. 
– The last one were brown khakis.",,
determine,"# to discover the face about something to calculate something exactly | synonym: establish 
– We set out to determine exactly what happened that night.
– It was determined that she died of natural causes.
– He we determined to buy a computer. He went to the Best Buy and purchased it.",,
"but ,n","# a thing that is worth the money that you pay for it.
– The jacket was a really good buy.",,
"cost ,e","# costs,    cost,    cost,    costing. 
– The laptop was expensive. It cost him several hundred dollars.",,
right away,"# right away / off: immediately  or without delay. 
– I want it sent right away.
– He paid for the computer and took it home right away.",,
gentle,"# adjective: calm and kind; doing things in a quiet and careful way.
– a quiet and gentle man.
– She was the gentlest of nurses. 
– The lifted the computer gently from the box.",,
sleek,"# adjective: 1. ( approving ) smooth and shiny | synonym: glossy. 
– sleek black hair.
– The laptop was sleek.",,
approve,"# to think that someone or something is good, acceptable, or suitable.
– I told my mother I wanted to drop out of school, but she did not approve. 
– Do you approve of my idea?",,
approving,"# showing that you believe that someone or something is good or acceptable.
– He gave me an approving nod.
# antonym: disapproving.
# approvingly. 
– She looked at him approvingly and smiled.",,
"log ,v","# 1. to put information in an official record or write a record of events.
# 2. to travel a particular distance of for a particular length of time | synonym: clock up
– He turned on the laptop and logged in the Internet. ",,
,,,
lesson 13,# form 37 to 39,,
,,,
pricey,"# = expensive 
– She wore expensive clothes. She wore classy perfume. She put on pricey make-up.",,
devastate,"# 1. to completely destroy a place or an area.
– The bomb devastated mush of the old part of the city.
# 2. to make somebody feel very shocked and sad.
– They said they were moving. She was devastated.",,
ordinary ,"# not unusual or different in any way.
– an ordinary sort of day.
– in the ordinary course of events.
– ordinary people like you and me.
– She was just an ordinary girl now.",,
heal,"# verb. to become healthy again; to make something heal again.
– He gave to the poor. He fed the hungry. He healed the sick.",,
"feed ,e","# feeds,    fed,    fed,    feeding. ",,
vase,"# / vaest / extremely large in an area size, amount, etc | synonym: huge
– a vast area of forest.
– a vast crowd
– The king had an army. His army was vast.",,
invade,"# to enter a country, town, etc using military force in order to take control of it.
– Troops invaded on August 9th that year.
– Invaders would attack. The king’s army was strong. They battled with swords and shields.",,
battle,"# to try very hard to achieve something difficult or to deal with something unpleasant or dangerous. 
– Both team battled hard.",,
sword,"# a weapon with a long metal blade and a handle.
– to draw / sheathe a sword (= to take it out / put it into its cover )",,
shield,"# a large  piece of metal or leather carried by soldier in the past to protect the body when fighting. 
# verb: to protect someone or something form danger, harm or something unpleasant. 
– I shielded my eyes against the glare.
– You cannot shield her from the truth forever.
– Police believe that somebody is shielding the killer. ",,
revolt,"# noun: to protest against authority | synonym: uprising 
# verb: to take violent action against the people in power | synonym: rise up
– When the king grew mad, his people revolted and the king was overthrown. ",,
overthrow ,"# to remove a leader or government form a position of power by force
# overthrows,    overthrew,    overthrown,     overthrowing. ",,
banish,"# to order somebody to leave a place, especially a country as a punishment | synonym: exile 
– The king was banished form his kingdom. He left this world.",,
bless,"# to ask God to protect something / somebody 
– God bless you.
# Bless you ( idiom ) said to somebody after they have sneezed. 
– “Bless you” she would say when someone sneezed. ",,
,,,
lesson 14,# from 40 to 42,,
,,,
democracy,"# a system of government in which all people of a country can vote to elect their representatives. 
# 3. fair and equal treatment of every one  in an organization, etc.
– The United States is famous for democracy. ",,
accent,"# a way pronouncing the word of a language that shows which country, area or social class of person comes from.
– She speck English  with an accent.
– People speck English in England. People in England have accents.",,
"accent ,v","# to emphasize a part of something.
– The woman accents their eyes with make-up.",,
budget,"# the money that is available to a person or an organization and a plan of how in will be spent over a period of time.
– a monthly / an annual / a family budget.
– She was on a budget. She stopped buying drinks.",,
disappoint,"# verb. to make somebody feel and because something that they hope for or except to happen does not happed or is not good as they hoped.
– “Do you serve fish?’ she asked. The waiter said, “No, I am sorry.” She disappointed. ",,
pork,"# meat from a pig that have not been cured ( preserved using salt and smoke )
– She did not even like pork. ",,
"cure ,v","# to make a person or an animal healthy again after an illness.
– Will you be able to cure him. doctor?",,
make sth up,"# to form something.
– She made up her mind.
# synonym: constitute ",,
constitute ,"# linking verb. to be considered to be something.  
# { to Form something, Make up, Establish, Set up }
– Does such an activity constitute a criminal offence? ",,
spoil,"# 1. to change something good into something bad, unpleasant, useless, etc | synonym: Ruin
– Out camping trip was spoiled (or spoilt ) by bad weather. 
# 2. to give a child everything  that the ask for, and not enough discipline in a way that has a bed effect on their character and behavior | synonym: Overindulge ( to give somebody more than is good for they )
– His mother overindulge him.
– She spoiled those kids of hers.",,
,,,
lesson 15,# from 43 to 45,,
,,,
clinic,"# a building or part of hospital where  people can go for special medical treatment or advice
– She did not like to go to clinic.",,
damp ,"# ( also dampen and damp is less frequently ) to make something slightly wet
# noun: the state of being damp
– The old house smelly of damp.
– The clinic was small and damp.",,
symptom,"# a change in you body or mind that shows that you are not healthy.
– flu symptoms
– Symptoms include headache and sort throat. ",,
prescription ,"# an official piece of paper on which a doctor write the type of medicine (that) you should have.
– The doctor checked her symptoms. He gave her a prescription. “Feel better,” the doctor said. ",,
porch,"# a small area at the entrance to a building, such as a house or church, that is covered by roof and often has wall | North Am: veranda 
– John sat on the porch playing his electric bass. The music was catchy. Every one in the neighborhood loved it. They walked closer to the porch to listen to the music. ",,
bass 1,"# a lowest tone or part in music, for instrument or voices
– He sings bass",,
bass 2,# a sea freshwater fish that is used for food.,,
melody,"# a tune, especially the music tune in a piece of music written for several instrument or voice. ",,
harmony,"# 1. a state of peaceful existence or agreement 
– the need to be in harmony with our environment
# 2. the in which different notes that are played or sung together combine to make a pleasing sound.
– John sang the melody. Jim sang harmony.",,
catchy,"# ( of music or the word of a advertisement ) pleasing and easily remembered.
– The music was catchy. Strangers noticed Jim and John playing music.",,
tune,"# a series of musical notes that are sung or played
# verb: to adjust a musical instrument so that it plays at the correct pitch
– to tune a guitar 
– She turned on the radio. She tuned in her favorite radio station. ",,
pitch,"# (also N-Am field) an area of ground specially prepared and marked for playing a sport game
– a football / cricket / rugby pitch 
# 2. {of sound} [sing,…] how high or low a sound is, especially in a music note",,
heart out,"( your heart goes out to so somebody ) used to say that you feel a lot of sympathy for somebody
– Our heart go out to the families of the victims. 
– She jumped in the shower. She sang her heart out.",,
,,,
WEEK,FOURTH,,
lesson 16,# from 46 to 48,,
,,,
poison,"# a substance that causes death or harm if it is swallowed or absorbed into the body.
– Some mushrooms contains deadly poison. ",,
ivy,"# a climbing plant, especially one with dark green shiny leaves with five points.
– Stone walls covered in ivy",,
poison ivy,"# a climbing plant that causes painful itchy spots on the skin when you touch it.
– He was also scared of bugs, ghosts, and poison ivy.",,
journal,"# 1. a newspaper or magazine that deals with a particular subject or profession. 
# 3. a written record of the things you do, see, etc every day.
– He kept a journal of his travels across Asia. 
– He brought his journal. He wrote in the journal. ",,
claw,"# one of the sharp curved nails on the end of on an animal’s or bird’s food.
– Bears were huge. He saw one on television. They had sharp teeth. They had big claws. ",,
"toss ,again","# verb: 1. to throw something lightly or carelessly. 
– I tossed the book aside and got up.
– He tossed the ball to Anna.
# 3. to move or make someone or something move form side to side or up and down. 
– Branches were tossing in the wind. 
– I could not sleep but kept tossing and turning in bed all night. 
– He had a hard time  going to sleep. He tossed and turned all night.",,
"hide ,e","# hides,    hid,    hidden,    hiding. 
– His family called his name. “Henry, it is time to get ready.” He did not want to go. He hid in his blankets. ",,
"last ,verb","# to continue for a particular period of time.
– The meeting only lasted (for) a few minutes. 
– Each game lasted about an hour.
– The camping trip lasted three days. ",,
nature,"# 3 { character } the usual way that a person or an animal behaves that is part of their character.
– It is not in his nature to be unkind. 
– She is very sensitive by nature. 
– He liked her nature. He liked her smile. ",,
,,,
lesson 17,# from 49 to 51,,
,,,
puzzle,"# a game, etc that you have to think about carefully in order to answer it or do it
– a crossword puzzle
# something that is difficult to understand or explain
# verb: to make somebody feel confused because they do not understand | synonym: mystery 
– what puzzles me is why he left the country without telling anyone. 
– She looked at him. She had a puzzled face.",,
"strike ,again","# to hit somebody or something with force
# etymology: strikes,    struck,    struck,    striking
– She was struck.
# idiom be + strike by/on/with somebody/something: to the impressed or interested by somebody / something; to like somebody/something very much.",,
iron,"# noun. ( symbol Fe) a chemical element. Iron is hard strong metal that is used to make steel and is also found is small quantities in blood and food.
# 2. {tool} a tool with a flat metal base that can be heated and used to make clothes smooth.
– a stream iron
# verb: to make clothes, etc smooth by using an iron
– I will needed to iron that dress before I can wear it.
– He grabbed his suit. He ironed it fast. The suit still has wrinkles.",,
wrinkle,"# a line or small fold in your skin, especially on your face, that forms as you get older
– There were fine wrinkles around her eyes.
# a small fold that you  do not want in a piece of cloth or paper | synonym: crease 
# verb: to make the skin or your face form into lines or fold; to form lines or folds in this way.
– She wrinkles up her nose in distaste.",,
distaste,# a feeling that someone or something is unpleasant or offensive,,
fool ,"# to trick somebody into believing something that is not true
– You do not fool me!
– She certainly had me fooled – I really believed her!
# phrase: fool around: to waste time instead of doing something that you should be doing | synonym: mess around
# adjective: showing a lack of intelligence or good judgment | synonym: silly, stupid, foolish",,
,,,
lesson 18,# from 52 to 54,,
,,,
raw,"# { food } no cooked 
– raw meat
– The restaurant was special. It served raw food.",,
bill,"# a piece of paper that shows how much you owe somebody for goods or services.
– Everybody ate a lot of food. The bill was expensive.",,
throughout,"# in or into every part of something.
– They export their produces to markets throughout the world.
– The movie started. They laughed throughout the movie. ",,
credit,# to add an amount of money to somebody’s account | opposite debit ,,
debit,"# a sum of money taken form a bank account. 
– The total debits on the account were $2,000 last mount.",,
the credit,"# on movie / TV program
# the act of mentioning someone who worked on a project such as movie or a television program 
– She was given program credit for her work on the costumes for the play.
# The credit (= the list of the all people involving) seemed to last almost as long as the film!
– It lasted one hour and a half. It ended and the credits started rolling. ",,
bare,"# 1. not covered by any clothes
– She likes to walk around in bare feet.
# ( of trees ,etc ) has no leaves
# ( of room, etc ) empty",,
barely,"# adverb: in a way that is just possible but only with difficult 
– He could barely read and write.
– The music was barely audible.
– She was barely able to stand.
– He complained at work. “It is barely Tuesday?” he would ask.",,
hump,"# a large lump that stick out above a surface of something, especially the ground.
– the dark hump of the mountain in the distance
# a large lump on the back of some animals, especially ‘camels’ ",,
lump,"# noun: a piece of something hard or solid, usually without a particular shape.
– a lump of coal / cheese / wood
– This sugar has lumps in it",,
